Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
PLCE,NASDAQ,780701592,53.52,-1.92413414,-1.05,639307,,17300,Retail Trade
MGIC,NASDAQ,780694974,15.94,6.83646113,1.02,411645,30.7502061,2642,Technology Services
CFIIU,NASDAQ,780372000,12.44,1.38549307,0.17,48183,,,Finance
HSTM,NASDAQ,779909898,24.62,-0.12170385,-0.03,119548,47.54098361,876,Technology Services
MSGN,NYSE,779287974,13.66,-3.12056738,-0.44,334247,4.68547503,700,Consumer Services
MMX,NYSE ARCA,778303520,5.54,-7.04697987,-0.42,360709,164.48491736,9,Non-Energy Minerals
GPRK,NYSE,776882160,12.83,1.66402536,0.21,54691,,439,Energy Minerals
GOGL,NASDAQ,776566760,5.42,8.4,0.42,550009,,37,Transportation
WPRT,NASDAQ,776484080,5.66,2.90909091,0.16,2686941,,1294,Producer Manufacturing
CBB,NYSE,776426792,15.32,0.19620667,0.03,249910,,4400,Communications
ATEN,NYSE,776290019.9999999,10.12,1.81086519,0.18,884180,79.6474359,810,Technology Services
VAPO,NYSE,776251300,30.25,4.5988935,1.33,317771,,284,Health Technology
MYE,NYSE,775613415,21.65,-2.95831466,-0.66,155454,20.24500907,1780,Process Industries
WLKP,NYSE,773927055,21.99,-2.22321032,-0.5,87369,11.55288437,150,Process Industries
EXK,NYSE,772892920,4.91,-8.73605948,-0.47,8361786,,,Non-Energy Minerals
THCBU,NASDAQ,772758000,22.5,3.32571019,0.7242,1503,,2,Finance
RUBY,NASDAQ,771204767,9.53,7.92751982,0.7,435117,,223,Health Technology
BCOR,NASDAQ,771101385,16.05,1.77552315,0.28,314269,,690,Technology Services
NGMS,NASDAQ,770709290,31.3,-5.15151515,-1.7,195796,,,Technology Services
KNL,NYSE,768847457,15.17,0.39708802,0.06,194025,43.9244186,3734,Producer Manufacturing
ATNI,NASDAQ,767420595,48.27,-2.4454325,-1.21,128467,,1700,Communications
TCX,NASDAQ,765456671,72.17,-3.15351583,-2.35,30036,84.05143244,633,Technology Services
CEL,NYSE,765042500,4.7,-0.63424947,-0.03,3447,,3265,Communications
SPWH,NASDAQ,765019378,17.54,-1.29431626,-0.23,1874424,11.02699348,5400,Retail Trade
CIR,NYSE,761727629.0000001,38.09,-3.0048383,-1.18,49884,,4000,Producer Manufacturing
HLIT,NASDAQ,761455362,7.79,-0.06414368,-0.005,577932,,1172,Electronic Technology
PFBC,NASDAQ,761045140,51.07,-1.71285604,-0.89,90519,11.38026195,279,Finance
TALO,NYSE,759155200,9.34,-2.70833333,-0.26,610867,,440,Energy Minerals
UEIC,NASDAQ,758983440,55.2,-1.72690048,-0.97,39417,23.85036729,4347,Consumer Durables
VBIV,NASDAQ,757625890,3.13,-2.79503106,-0.09,4425773,,125,Health Technology
BFS,NYSE,757458000,32.48,0.33982082,0.11,73028,25.98538974,67,Finance
PLYA,NASDAQ,756941955,5.595,-2.01401051,-0.115,5644126,,,Consumer Services
VNDA,NASDAQ,754745460,13.8,-1.42857143,-0.2,343526,39.82930299,284,Health Technology
ADTN,NASDAQ,754351026,15.73,0.76873799,0.12,283024,,1790,Electronic Technology
CMBM,NASDAQ,754019448,26.66,0.18789929,0.05,229617,99.55106622,533,Electronic Technology
PAM,NYSE,753666000,13.01,-3.05514158,-0.41,150043,7.08927628,,Utilities
SLRC,NASDAQ,753087456,17.82,-0.55803571,-0.1,124682,,,Finance
PLAB,NASDAQ,752032704,11.46,-1.20689655,-0.14,337281,22.47191011,,Electronic Technology
NWLI,NASDAQ,751262809.2,212.46,-1.67530544,-3.62,5113,8.05046068,287,Finance
COLL,NASDAQ,750090087,21.69,-3.89898095,-0.88,466038,45.24859663,255,Health Technology
AMBC,NYSE,748978785.0000001,16.35,-0.42630938,-0.07,409597,,104,Finance
PARR,NYSE,747592530,13.85,-3.75260598,-0.54,255798,,1408,Energy Minerals
CFII,NASDAQ,744120000,11.7,0.94909405,0.11,949772,,,Finance
ECHO,NASDAQ,743959680,27.96,-2.13510676,-0.61,90953,121.21340687,2539,Transportation
